Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score,Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
pdfbox,LogistRegression,3,model2,SMOTE,"0,7667353637","0,6323335472","0,8040984239","[0,85462848 0,41003861]","0,7667353637","0,7132303559","0,7735962797","0,7434133178",[8983; 2629; 427; 1062]
junit4,DT,3,model1,SMOTE,"0,9721964782","0,8696817933","0,973267687","[0,98526523 0,75409836]","0,9721964782","0,8214285714","0,9804496579","0,9009391146",[2006; 40; 20; 92]
junit4,RandomForest,3,model1,SMOTE,"0,9814643188","0,9042080966","0,9813048632","[0,99023438 0,81818182]","0,9814643188","0,8035714286","0,991202346","0,8973868873",[2028; 18; 22; 90]
junit4,RandomForest,3,model2,SMOTE,"0,9805375348","0,8985452738","0,9802839504","[0,9897511 0,80733945]","0,9805375348","0,7857142857","0,991202346","0,8884583159",[2028; 18; 24; 88]
junit4,DT,3,model2,SMOTE,"0,9670991659","0,8475508013","0,9685380002","[0,982551 0,71255061]","0,9670991659","0,7857142857","0,977028348","0,8813713169",[1999; 47; 24; 88]
junit4,LogistRegression,3,model2,ADA,"0,8702502317","0,6567130261","0,8993575359","[0,92746114 0,38596491]","0,8702502317","0,7857142857","0,8748778104","0,830296048",[1790; 256; 24; 88]
junit4,LogistRegression,3,model1,ROS,"0,874884152","0,6610802435","0,902326894","[0,9302686 0,39189189]","0,874884152","0,7767857143","0,8802541544","0,8285199344",[1801; 245; 25; 87]
junit4,MLP,3,model2,SMOTE,"0,9573679333","0,788742046","0,9578927026","[0,97748409 0,6 ]","0,9573679333","0,6160714286","0,9760508309","0,7960611297",[1997; 49; 43; 69]
junit4,MLP,3,model1,ADA,"0,9606116775","0,7882249713","0,959460662","[0,97929354 0,5971564 ]","0,9606116775","0,5625","0,9824046921","0,772452346",[2010; 36; 49; 63]
commons-io,RandomForest,3,model2,ROS,"0,9666185864","0,9126946291","0,966505479","[0,98130841 0,84408085]","0,9666185864","0,8376313276","0,9822150364","0,909923182",[8505; 154; 170; 877]
commons-io,RandomForest,3,model1,ROS,"0,9667216155","0,9124070538","0,9665013157","[0,98138221 0,8434319 ]","0,9667216155","0,8309455587","0,9831389306","0,9070422447",[8513; 146; 177; 870]
commons-io,MLP,3,model2,ROS,"0,9379765094","0,8567874192","0,9413538333","[0,96461737 0,74895746]","0,9379765094","0,8576886342","0,9476844901","0,9026865622",[8206; 453; 149; 898]
commons-io,DT,3,model1,SMOTE,"0,9321038533","0,8427200173","0,9357075476","[0,96128767 0,72415237]","0,9321038533","0,8261700096","0,9449128075","0,8855414085",[8182; 477; 182; 865]
commons-io,MLP,3,model1,ADA,"0,9412734391","0,8569477914","0,9430839737","[0,96677934 0,74711624]","0,9412734391","0,8042024833","0,9578473265","0,8810249049",[8294; 365; 205; 842]
commons-io,DT,3,model2,SMOTE,"0,9351947249","0,8448235505","0,9376958847","[0,96324432 0,72640278]","0,9351947249","0,7975167144","0,9518420141","0,8746793643",[8242; 417; 212; 835]
commons-io,LogistRegression,3,model2,ROS,"0,7743663713","0,6352655529","0,8119147737","[0,86050955 0,41002155]","0,7743663713","0,7268385864","0,780113177","0,7534758817",[6755; 1904; 286; 761]
commons-io,LogistRegression,3,model1,ROS,"0,7671543375","0,6287705859","0,8065257525","[0,85542477 0,4021164 ]","0,7671543375","0,7258834766","0,7721445894","0,749014033",[6686; 1973; 287; 760]
