Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score,Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
junit4,RandomForest,0,model2,ADA,"0,9465999166","0,6869607803","0,9454105481","[0,9720524 0,40186916]","0,9465999166","0,3839285714","0,9741794311","0,6790540013",[2226; 59; 69; 43]
commons-io,RandomForest,0,model1,ROS,"0,9624770908","0,9052798445","0,9633929851","[0,97888509 0,8316746 ]","0,9624770908","0,8808432631","0,9720784821","0,9264608726",[9017; 259; 130; 961]
commons-io,RandomForest,0,model2,ROS,"0,9626700106","0,9054805412","0,9635281363","[0,97900277 0,83195832]","0,9626700106","0,8780934922","0,9726175075","0,9253554999",[9022; 254; 133; 958]
commons-io,DT,0,model2,SMOTE,"0,946368284","0,8722281925","0,9490721394","[0,9695576 0,77489879]","0,946368284","0,8771769019","0,9545062527","0,9158415773",[8854; 422; 134; 957]
commons-io,DT,0,model1,ROS,"0,9591974535","0,896372884","0,9600769352","[0,97705949 0,81568627]","0,9591974535","0,857928506","0,9711082363","0,9145183711",[9008; 268; 155; 936]
commons-io,MLP,0,model1,ROS,"0,9152117295","0,8120816074","0,9219930722","[0,95129384 0,67286937]","0,9152117295","0,8285976169","0,9253988788","0,8769982478",[8584; 692; 187; 904]
commons-io,MLP,0,model2,ADA,"0,9162727887","0,8078763687","0,9218130192","[0,95218685 0,66356589]","0,9162727887","0,7846012832","0,931759379","0,8581803311",[8643; 633; 235; 856]
commons-io,LogistRegression,0,model2,SMOTE,"0,736567956","0,600243311","0,7845540509","[0,83368857 0,36679805]","0,736567956","0,7250229148","0,7379258301","0,7314743724",[6845; 2431; 300; 791]
commons-io,LogistRegression,0,model1,SMOTE,"0,734156458","0,5980245253","0,7827153705","[0,83195122 0,36409783]","0,734156458","0,7231897342","0,7354463131","0,7293180236",[6822; 2454; 302; 789]
commons-bcel,RandomForest,0,model2,ADA,"0,973374613","0,8815216816","0,9736975839","[0,98584129 0,77720207]","0,973374613","0,7978723404","0,9842209073","0,8910466239",[1497; 24; 19; 75]
commons-bcel,RandomForest,0,model1,ADA,"0,972755418","0,8769736842","0,9728898485","[0,98552632 0,76842105]","0,972755418","0,7765957447","0,9848783695","0,8807370571",[1498; 23; 21; 73]
commons-bcel,LogistRegression,0,model2,SMOTE,"0,9015479876","0,7203463203","0,9192499966","[0,94545455 0,4952381 ]","0,9015479876","0,829787234","0,905982906","0,86788507",[1378; 143; 16; 78]
commons-bcel,LogistRegression,0,model1,SMOTE,"0,9034055728","0,721674768","0,920394966","[0,94657534 0,49677419]","0,9034055728","0,8191489362","0,9086127548","0,8638808455",[1382; 139; 17; 77]
commons-bcel,DT,0,model2,ADA,"0,9300309598","0,7644949278","0,9389557237","[0,96194005 0,56704981]","0,9300309598","0,7872340426","0,9388560158","0,8630450292",[1428; 93; 20; 74]
commons-bcel,MLP,0,model2,SMOTE,"0,9647058824","0,83658634","0,9644371001","[0,98128079 0,69189189]","0,9647058824","0,6808510638","0,9822485207","0,8315497923",[1494; 27; 30; 64]
commons-bcel,DT,0,model1,ADA,"0,9424148607","0,7741391211","0,9463984327","[0,96909272 0,57918552]","0,9424148607","0,6808510638","0,9585798817","0,8197154727",[1458; 63; 30; 64]
commons-bcel,MLP,0,model1,SMOTE,"0,9616099071","0,8176138434","0,9608071416","[0,97967213 0,65555556]","0,9616099071","0,6276595745","0,9822485207","0,8049540476",[1494; 27; 35; 59]
commons-bcel,DT,3,model6,NONE,"0,950","0,689","0,956","[0,97415681 0,4040404 ]","0,950","0,541","0,964","0,752",[1112; 42; 17; 20]
commons-bcel,LogistRegression,3,model6,ADA,"0,722","0,494","0,813","[0,83375188 0,15345269]","0,722","0,811","0,719","0,765",[830; 324; 7; 30]
commons-bcel,MLP,3,model6,ROS,"0,822","0,560","0,878","[0,89952607 0,22058824]","0,822","0,811","0,822","0,817",[949; 205; 7; 30]
commons-bcel,RandomForest,3,model6,SMOTE,"0,968","0,704","0,966","[0,9835924 0,42424242]","0,968","0,378","0,987","0,683",[1139; 15; 23; 14]
commons-io,DT,3,model6,ADA,"0,922","0,829","0,928","[0,95537778 0,70319275]","0,922","0,852","0,931","0,891",[8061; 598; 155; 892]
commons-io,MLP,3,model6,ADA,"0,870","0,752","0,886","[0,92289862 0,58117959]","0,870","0,838","0,874","0,856",[7565; 1094; 170; 877]
commons-io,LogistRegression,3,model6,SMOTE,"0,709","0,575","0,762","[0,81356379 0,33568406]","0,709","0,682","0,712","0,697",[6166; 2493; 333; 714]
commons-io,RandomForest,3,model6,ROS,"0,953","0,883","0,954","[0,97316179 0,79373602]","0,953","0,847","0,965","0,906",[8358; 301; 160; 887]
junit4,DT,3,model6,NONE,"0,930","0,614","0,927","[0,9635214 0,26470588]","0,930","0,241","0,968","0,605",[1981; 65; 85; 27]
junit4,LogistRegression,3,model6,ROS,"0,768","0,534","0,830","[0,86411717 0,20349762]","0,768","0,571","0,779","0,675",[1593; 453; 48; 64]
